עיר,איזור,קישור
זמר,השרון, https://zemer.muni.il/
זרזיר,צפון, NaN
חברון,דרום, NaN
חדרה,צפון, http://www.hadera.muni.il/
חולון,מרכז, https://www.holon.muni.il/Pages/default.aspx
חורה,דרום, https://www.huranet.org/Pages/default.aspx
חורפיש,צפון, http://lch.org.il/
חיפה,צפון, https://www.haifa.muni.il/
חצור הגלילית,צפון, https://www.hatzorg.co.il/
חריש,צפון, https://www.harish.muni.il/
טבריה,צפון, https://www.tiberias.muni.il/
טובא-זנגריה,צפון, http://www.tuba-zangariyye.muni.il/hebrew/index.php
טורעאן,צפון, https://www.turan.muni.il/he/
טייבה,מרכז,  https://taibeh.muni.il/index/he
טירה,השרון, NaN
טירת כרמל,צפון, https://www.tirat-carmel.muni.il/
טמרה,צפון, https://www.tamra.muni.il/he/
יאנוח-ג'ת,צפון, https://www.yanuh-jat.muni.il/
יבנאל,צפון, https://yavneel.muni.il/
יבנה,מרכז, https://www.yavnecity.co.il/
יהוד-נווה אפריים,מרכז, http://www.yehud-monosson.muni.il/
יסוד המעלה,צפון, https://www.yesud-hamaala.muni.il/
יפיע,דרום, https://www.yaffa.org.il/he/
יקנעם עילית,צפון, https://www.yoqneam.org.il/Pages/default.aspx
ירוחם,דרום, https://www.yeroham.muni.il/
ירושלים,ירושלים,  https://www.jerusalem.muni.il/
ירכא,צפון, https://www.yirka.muni.il/he/
כאבול,צפון, https://kabul.muni.il/he/home
כאוכב אבו אל-היג'א,צפון, NaN
כוכב יאיר,השרון, NaN
כסיפה,דרום, https://www.kuseife.muni.il/Pages/default.aspx
כסרא-סמיע,צפון, https://www.kisra-sumei.muni.il/he/home
כעביה-טבאש-חג'אג'רה,צפון, https://www.kaabiyye-tabbash-hajajre.muni.il/Pages/default.aspx
כפר ברא,מרכז, https://www.kafar-bara.muni.il/he/about/53
כפר ורדים,צפון, http://kfarvradim.com/
כפר יאסיף,צפון, https://www.kafr-yasif.muni.il/Pages/default.aspx
כפר יונה,השרון, https://www.kfar-yona.muni.il/
כפר כמא,צפון, http://www.kfarkama.co.il/
כפר כנא,צפון, https://www.kfarcana.muni.il/Heb/Pages/default.aspx
כפר מנדא,צפון, https://kafar-manda.muni.il/he/
כפר סבא,השרון, http://www.kfar-saba.muni.il/
כפר קאסם,מרכז, https://kfar-qasem.muni.il/he/
כפר קרע,צפון, https://www.kafar-qara.muni.il/he/
כפר שמריהו,השרון, http://www.kfar-shemaryahu.muni.il/
כפר תבור,צפון, https://www.kefar-tavor.muni.il/
כרמיאל,צפון, https://www.karmiel.muni.il/
להבים,דרום, http://www.lehavim.muni.il/
לוד,מרכז, http://www.lod.muni.il/
לקיה,דרום, https://www.laqye.muni.il
מבשרת ציון,ירושלים, https://www.m-zion.org.il/
מגאר,, https://al-maghar.co.il/he/
מגדל,צפון, http://www.m-migdal.co.il/
מג'דל אל כרום,צפון, https://majd-al-kurum.muni.il/
מגדל העמק,צפון, http://www.migdal-haemeq.muni.il/
מג'דל שמס,צפון, NaN
מגדל תפן,צפון, https://www.tefen.muni.il/
מודיעין עילית,ירושלים, https://www.modil.org.il/
מודיעין-מכבים-רעות,ירושלים, https://www.modiin.muni.il/ModiinWebSite/MainPage.aspx
מזכרת בתיה,, https://mazkeret-batya.muni.il/
מזרעה,צפון, https://mazraa.muni.il/he/Home/Index
מטולה,צפון, http://www.metulla.muni.il/
מיתר,דרום, http://www.metar.muni.il/
מסעדה,צפון, NaN
מעיליא,צפון, https://www.mielya.muni.il/Pages/default.aspx
מעלה אדומים,, https://www.maale-adummim.muni.il/
מעלה אפרים,צפון, http://maaleefraim.co.il/
מעלה עירון,צפון, NaN
מעלות-תרשיחא,צפון, https://www.maltar.org.il/
מצפה רמון,דרום, http://www.mitzpe-ramon.muni.il/
משהד,צפון, https://www.mashhad.muni.il/Pages/default.aspx
נאות חובב,דרום, https://neot-hovav.org.il/
נהריה,צפון, https://www.nahariya.muni.il/
נוף הגליל,צפון, https://www.nof-hagalil.muni.il/
נחף,צפון, https://www.nahef.muni.il/inner.asp?root=145&RecordID=371&lang=ar
נס ציונה,דרום, https://www.nzc.org.il/
נצרת,צפון, https://www.nazareth.muni.il/Hebrew/Pages/default.aspx
נשר,צפון, https://www.nesher.muni.il/
נתיבות,דרום, http://www.netivot.muni.il/
נתניה,מרכז, https://www.netanya.muni.il/
סאג'ור,צפון, https://www.sajur.muni.il/he/
סביון,מרכז, https://www.sajur.muni.il/he/
סח'נין,צפון, https://www.sakhnin.muni.il/he/
ע'ג'ר,צפון, https://ghajarlc.org.il/
עומר,דרום, https://www.omer.muni.il/
עוספיה,צפון, https://www.isifya.co.il/he/
עיילבון,צפון, https://www.eilaboun.muni.il/Pages/default.aspx
עילוט,צפון, https://ilut.muni.il/he/CmsPage/Page?pageId=1234
עין מאהל,צפון, https://www.ein-mahel.muni.il/Hebrew/Pages/default.aspx
עין קנייא,צפון, http://einknia.com/
עכו,צפון, https://www.akko.muni.il/he/
עמנואל,מרכז, https://www.emanuel.muni.il/
עפולה,צפון, https://www.emanuel.muni.il/
עראבה,צפון, https://arraba.muni.il/he/
ערד,דרום, http://www.arad.muni.il/
ערערה,צפון, http://www.arara-ara.muni.il/
ערערה-בנגב,דרום, https://www.arara-banegev.muni.il/Pages/default.aspx
פוריידיס,צפון, NaN
פסוטה,צפון, https://fassuta.muni.il/
פקיעין (בוקייעה),צפון, https://peqiin.muni.il/
פרדס חנה-כרכור,צפון, https://www.pardes-hanna-karkur.muni.il/
פרדסיה,מרכז, https://www.pardesia.muni.il/
פתח תקווה,מרכז, http://www.petah-tikva.muni.il/
צורן קדימה,השרון, https://www.kadima-zoran.muni.il/
צור הדסה,ירושלים, https://www.tzur-hadassa.org.il/
צפת,צפון, https://www.zefat.muni.il/
קדומים,מרכז, https://www.kedumim.org.il/
קלנסווה,מרכז, NaN
קצרין,צפון, https://www.golan.org.il/ramathagolan/
קרית אונו,מרכז, https://www.kiryatono.muni.il/
קרית ארבע,דרום, NaN
קרית אתא,צפון, http://www.kiryat-ata.org.il/
קרית ביאליק,צפון, http://www.qbialik.org.il/
קרית גת,דרום, https://www.qiryat-gat.muni.il/
קרית טבעון,צפון, https://www.ktv.org.il/
קרית ים,צפון, https://www.kiryat-yam.muni.il/
קרית יערים,ירושלים, https://kiryatyearim.muni.il/
קרית מוצקין,, http://www.motzkin.co.il/
קרית מלאכי,דרום, http://k-m.org.il/
קרית עקרון,דרום, http://www.kiryat-ekron.muni.il/
קרית שמונה,צפון, http://www.k-8.co.il/
קרני שומרון,מרכז, http://www.karneishomron.co.il/
ראמה,צפון, https://rame.muni.il/
ראש העין,מרכז, https://www.rosh-haayin.muni.il/
ראש פינה,צפון, http://www.rosh-pinna.muni.il/
ראשון לציון,מרכז, https://www.rishonlezion.muni.il/Pages/default.aspx
רהט,דרום, https://rahat-muni.com/?lang=he
רחובות,מרכז, https://www.rehovot.muni.il/
ריינה,צפון, https://reine.muni.il/he/Home/Index
רכסים,צפון, http://www.rekhasim.muni.il/
רמלה,מרכז, NaN
רמת גן,מרכז, http://www.ramat-gan.muni.il/
רמת השרון,השרון, http://ramat-hasharon.muni.il/
רמת ישי,צפון, http://www.ramat-yishay.com/
רעננה,השרון, https://www.raanana.muni.il/Pages/default.aspx
שבלי - אום אל - גנם,צפון, https://www.shibli-umm-al-ghanam.muni.il/he/departments
שגב-שלום,דרום, https://www.segev-shalom.muni.il/
שדרות,דרום, http://www.e-sderot.org.il/
שוהם,מרכז, https://www.shoham.muni.il/
שלומי,צפון, https://www.shelomi.org.il/
שעב,צפון, https://shaab.muni.il/he/home
שער שומרון,מרכז, https://www.shaar-s.org.il/
שפרעם,צפון, https://shefaram.muni.il/he/Home/Index
תל אביב-יפו,מרכז, https://www.tel-aviv.gov.il/Pages/HomePage.aspx
תל מונד,השרון, https://www.tel-mond.muni.il/
תל שבע,דרום, https://tel-sheva.muni.il/?lang=he
